pid,spd,v,a,t0,t0_lo95,t0_hi95,conv_div,conv_rhat
CMT001,0,12.606,0.8185,162.0,146.0,173.0,0,1.011
CMT0011,0,8.47,0.7193,178.0,160.0,192.0,0,1.011
CMT0012,0,6.507,0.539,180.0,166.0,192.0,0,1.011
CMT0014,0,11.716,1.0607,163.0,146.0,175.0,0,1.011
CMT0015,0,7.255,0.6919,135.0,131.0,139.0,0,1.011
CMT0016,0,8.549,0.6722,154.0,140.0,165.0,0,1.011
CMT0017,0,8.511,0.7768,174.0,155.0,188.0,0,1.011
CMT002,0,7.834,0.6173,160.0,144.0,172.0,0,1.011
CMT003,0,8.247,0.7451,168.0,149.0,182.0,0,1.011
CMT004,0,13.206,0.8724,163.0,148.0,175.0,0,1.011
CMT005,0,8.327,0.9318,177.0,155.0,193.0,0,1.011
CMT006,0,8.9,0.7952,191.0,170.0,206.0,0,1.011
CMT007,0,9.253,0.8913,189.0,167.0,205.0,0,1.011
CMT008,0,11.442,0.6284,178.0,166.0,187.0,0,1.011
CMT009,0,7.838,0.7356,170.0,153.0,183.0,0,1.011
CMT010,0,11.646,0.8557,170.0,155.0,182.0,0,1.011
CMT001,75,13.852,0.8905,153.0,140.0,164.0,0,1.011
CMT0011,75,8.426,0.8065,151.0,137.0,163.0,0,1.011
CMT0012,75,7.97,0.7212,157.0,141.0,169.0,0,1.011
CMT0014,75,11.5,0.8868,167.0,151.0,178.0,0,1.011
CMT0015,75,8.267,0.6656,138.0,132.0,145.0,0,1.011
CMT0016,75,9.66,0.6872,151.0,138.0,161.0,0,1.011
CMT0017,75,7.92,1.0714,134.0,131.0,138.0,0,1.011
CMT002,75,11.626,0.7998,152.0,139.0,163.0,0,1.011
CMT003,75,12.449,0.8638,170.0,155.0,183.0,0,1.011
CMT004,75,12.264,0.7413,161.0,149.0,171.0,0,1.011
CMT005,75,6.348,0.9461,134.0,131.0,138.0,0,1.011
CMT006,75,7.824,0.6361,179.0,162.0,192.0,0,1.011
CMT007,75,6.554,0.6556,183.0,164.0,199.0,0,1.011
CMT008,75,10.913,0.6226,169.0,156.0,178.0,0,1.011
CMT009,75,9.083,0.8369,158.0,142.0,171.0,0,1.011
CMT010,75,9.054,0.6248,171.0,154.0,182.0,0,1.011
CMT001,150,11.117,0.9059,141.0,132.0,151.0,0,1.011
CMT0011,150,7.14,0.6253,168.0,150.0,182.0,0,1.011
CMT0012,150,6.289,0.7099,137.0,132.0,143.0,0,1.011
CMT0014,150,7.029,0.8751,138.0,132.0,144.0,0,1.011
CMT0015,150,8.748,0.6277,140.0,132.0,147.0,0,1.011
CMT0016,150,7.0,0.6137,137.0,132.0,145.0,0,1.011
CMT0017,150,8.584,0.7712,180.0,161.0,194.0,0,1.011
CMT002,150,12.442,0.9621,150.0,136.0,161.0,0,1.011
CMT003,150,12.03,0.9764,156.0,141.0,169.0,0,1.011
CMT004,150,8.917,0.7721,138.0,132.0,145.0,0,1.011
CMT005,150,4.686,0.9313,144.0,134.0,156.0,0,1.011
CMT006,150,7.08,0.7595,163.0,144.0,179.0,0,1.011
CMT007,150,5.627,0.8278,136.0,131.0,142.0,0,1.011
CMT008,150,13.75,1.1552,136.0,132.0,142.0,0,1.011
CMT009,150,7.503,0.6224,164.0,148.0,176.0,0,1.011
CMT010,150,5.818,0.6542,139.0,132.0,146.0,0,1.011
