pid,spd,t0_ms,t0_lo95,t0_hi95,ci_width_ms,floored,conv_div,conv_rhat
CMT001,0,162,146,173,27,0,0,1.011
CMT0011,0,178,160,192,32,0,0,1.011
CMT0012,0,180,166,192,26,0,0,1.011
CMT0014,0,163,146,175,29,0,0,1.011
CMT0015,0,135,131,139,8,0,0,1.011
CMT0016,0,154,140,165,25,0,0,1.011
CMT0017,0,174,155,188,33,0,0,1.011
CMT002,0,160,144,172,28,0,0,1.011
CMT003,0,168,149,182,33,0,0,1.011
CMT004,0,163,148,175,27,0,0,1.011
CMT005,0,177,155,193,38,0,0,1.011
CMT006,0,191,170,206,36,0,0,1.011
CMT007,0,189,167,205,38,0,0,1.011
CMT008,0,178,166,187,21,0,0,1.011
CMT009,0,170,153,183,30,0,0,1.011
CMT010,0,170,155,182,27,0,0,1.011
CMT001,75,153,140,164,24,0,0,1.011
CMT0011,75,151,137,163,26,0,0,1.011
CMT0012,75,157,141,169,28,0,0,1.011
CMT0014,75,167,151,178,27,0,0,1.011
CMT0015,75,138,132,145,13,0,0,1.011
CMT0016,75,151,138,161,23,0,0,1.011
CMT0017,75,134,131,138,7,0,0,1.011
CMT002,75,152,139,163,24,0,0,1.011
CMT003,75,170,155,183,28,0,0,1.011
CMT004,75,161,149,171,22,0,0,1.011
CMT005,75,134,131,138,7,0,0,1.011
CMT006,75,179,162,192,30,0,0,1.011
CMT007,75,183,164,199,35,0,0,1.011
CMT008,75,169,156,178,22,0,0,1.011
CMT009,75,158,142,171,29,0,0,1.011
CMT010,75,171,154,182,28,0,0,1.011
CMT001,150,141,132,151,19,0,0,1.011
CMT0011,150,168,150,182,32,0,0,1.011
CMT0012,150,137,132,143,11,0,0,1.011
CMT0014,150,138,132,144,12,0,0,1.011
CMT0015,150,140,132,147,15,0,0,1.011
CMT0016,150,137,132,145,13,0,0,1.011
CMT0017,150,180,161,194,33,0,0,1.011
CMT002,150,150,136,161,25,0,0,1.011
CMT003,150,156,141,169,28,0,0,1.011
CMT004,150,138,132,145,13,0,0,1.011
CMT005,150,144,134,156,22,0,0,1.011
CMT006,150,163,144,179,35,0,0,1.011
CMT007,150,136,131,142,11,0,0,1.011
CMT008,150,136,132,142,10,0,0,1.011
CMT009,150,164,148,176,28,0,0,1.011
CMT010,150,139,132,146,14,0,0,1.011
