pid,spd,v,a,t0_ms
CMT001,0,15.107,2.0983,71
CMT0011,0,10.943,1.3899,71
CMT0012,0,10.695,0.5365,71
CMT0014,0,16.462,1.6185,71
CMT0015,0,15.154,1.5245,71
CMT0016,0,10.838,1.0109,71
CMT002,0,10.54,1.0684,71
CMT005,0,12.424,1.5744,71
CMT007,0,10.545,1.0467,71
CMT008,0,4.689,0.5922,71
CMT009,0,6.019,0.6431,70
CMT010,0,12.425,1.3817,71
CMT001,75,15.459,2.4516,71
CMT0011,75,11.539,1.645,71
CMT0012,75,19.697,0.8765,71
CMT0014,75,14.216,1.5064,71
CMT0015,75,14.001,1.5106,71
CMT0016,75,12.002,1.1381,71
CMT0017,75,11.983,1.5298,71
CMT005,75,11.131,1.3626,71
CMT009,75,6.88,0.7894,70
CMT010,75,9.586,1.2001,71
CMT001,150,16.85,2.8194,71
CMT0011,150,10.9,1.5598,71
CMT0014,150,11.977,1.3417,71
CMT0015,150,14.657,1.6385,71
CMT0016,150,11.761,1.1746,71
CMT0017,150,13.023,1.6519,71
CMT002,150,8.428,1.0748,71
CMT005,150,11.593,1.4745,71
CMT006,150,8.508,0.9164,71
CMT009,150,6.173,0.6839,70
