pid,spd,t0_ms,t0_lo95,t0_hi95,ci_width_ms,floored,conv_div,conv_rhat
CMT001,0,161,151,170,19,0,0,1.007
CMT0011,0,175,164,187,23,0,0,1.007
CMT0012,0,175,162,186,24,0,0,1.007
CMT0014,0,163,152,172,20,0,0,1.007
CMT0015,0,130,121,137,16,0,0,1.007
CMT0016,0,153,143,161,18,0,0,1.007
CMT0017,0,172,160,182,22,0,0,1.007
CMT002,0,158,147,168,21,0,0,1.007
CMT003,0,168,156,179,23,0,0,1.007
CMT004,0,162,152,171,19,0,0,1.007
CMT005,0,178,166,190,24,0,0,1.007
CMT006,0,188,175,201,26,0,0,1.007
CMT007,0,189,175,201,26,0,0,1.007
CMT008,0,171,161,182,21,0,0,1.007
CMT009,0,169,157,180,23,0,0,1.007
CMT010,0,168,158,178,20,0,0,1.007
CMT001,75,153,145,161,16,0,0,1.007
CMT0011,75,152,142,162,20,0,0,1.007
CMT0012,75,157,145,166,21,0,0,1.007
CMT0014,75,165,154,175,21,0,0,1.007
CMT0015,75,136,128,143,15,0,0,1.007
CMT0016,75,149,140,157,17,0,0,1.007
CMT0017,75,130,119,137,18,0,0,1.007
CMT002,75,153,142,161,19,0,0,1.007
CMT003,75,169,158,179,21,0,0,1.007
CMT004,75,159,150,168,18,0,0,1.007
CMT005,75,129,117,137,20,0,0,1.007
CMT006,75,175,164,187,23,0,0,1.007
CMT007,75,180,167,193,26,0,0,1.007
CMT008,75,165,155,174,19,0,0,1.007
CMT009,75,159,148,167,19,0,0,1.007
CMT010,75,167,156,178,22,0,0,1.007
CMT001,150,142,131,150,19,0,0,1.007
CMT0011,150,166,155,177,22,0,0,1.007
CMT0012,150,134,125,141,16,0,0,1.007
CMT0014,150,137,128,143,15,0,0,1.007
CMT0015,150,138,129,145,16,0,0,1.007
CMT0016,150,135,124,143,19,0,0,1.007
CMT0017,150,177,165,188,23,0,0,1.007
CMT002,150,151,141,160,19,0,0,1.007
CMT003,150,158,147,167,20,0,0,1.007
CMT004,150,137,127,143,16,0,0,1.007
CMT005,150,147,134,156,22,0,0,1.007
CMT006,150,164,153,175,22,0,0,1.007
CMT007,150,134,124,141,17,0,0,1.007
CMT008,150,136,125,143,18,0,0,1.007
CMT009,150,161,150,172,22,0,0,1.007
CMT010,150,138,128,145,17,0,0,1.007
