pid,t0_ms,t0_lo95,t0_hi95,ci_width_ms,n_cells,min_srt_ms,constraint
CMT001,81,40,123,83,3,132,regularized (wide CI)
CMT0011,54,36,76,40,3,81,regularized (wide CI)
CMT0012,64,45,75,30,2,85,well-constrained
CMT0014,64,39,79,40,3,80,regularized (wide CI)
CMT0015,73,57,80,23,3,81,well-constrained
CMT0016,44,35,62,27,3,84,well-constrained
CMT0017,77,51,89,38,3,90,regularized (wide CI)
CMT002,81,49,104,56,2,126,regularized (wide CI)
CMT005,62,38,80,42,3,82,regularized (wide CI)
CMT006,52,35,84,48,1,90,regularized (wide CI)
CMT007,52,36,77,41,1,84,regularized (wide CI)
CMT008,50,36,69,33,1,93,well-constrained
CMT009,39,35,48,13,3,81,well-constrained
CMT010,49,36,73,38,2,90,regularized (wide CI)
