effector,pid,spd,n,model_pub,ks_pub,ks_new,ks_p,p_floor,crit95,crit90,rejected,B,passes_old_rule,at_bound,v_at_cap,t0_at_floor
HRT,CMT001,0,118,single,0.0818,0.0818,0.0697,0.005,0.0829,0.0799,False,200,True,True,True,False
HRT,CMT0011,0,119,single,0.1107,0.1107,0.01,0.005,0.0864,0.0835,True,200,False,False,False,False
HRT,CMT0012,0,119,single,0.0623,0.0623,0.607,0.005,0.087,0.0828,False,200,True,False,False,False
HRT,CMT0014,0,120,single,0.0641,0.0641,0.3383,0.005,0.0859,0.0809,False,200,True,False,False,False
HRT,CMT0015,0,120,single,0.0711,0.0711,0.3433,0.005,0.0936,0.0874,False,200,True,False,False,True
HRT,CMT0016,0,119,single,0.0684,0.0684,0.3483,0.005,0.0867,0.0805,False,200,True,False,False,False
HRT,CMT0017,0,120,single,0.0612,0.0612,0.4975,0.005,0.0859,0.0785,False,200,True,False,False,False
HRT,CMT002,0,119,single,0.0574,0.0574,0.7662,0.005,0.0949,0.0849,False,200,True,False,False,False
HRT,CMT003,0,120,single,0.0627,0.0627,0.4776,0.005,0.0843,0.0808,False,200,True,False,False,False
HRT,CMT004,0,120,single,0.0574,0.0574,0.6219,0.005,0.0785,0.0748,False,200,True,False,False,False
HRT,CMT005,0,119,single,0.0574,0.0574,0.6866,0.005,0.0825,0.0765,False,200,True,False,False,False
HRT,CMT006,0,118,single,0.0478,0.0478,0.9353,0.005,0.09,0.0842,False,200,True,False,False,False
HRT,CMT007,0,118,single,0.0774,0.0774,0.0796,0.005,0.0803,0.0746,False,200,True,False,False,False
HRT,CMT008,0,120,single,0.0603,0.0603,0.5572,0.005,0.084,0.0797,False,200,True,False,False,False
HRT,CMT009,0,119,single,0.0642,0.0642,0.3781,0.005,0.0873,0.0806,False,200,True,False,False,False
HRT,CMT010,0,120,single,0.0587,0.0587,0.5025,0.005,0.0816,0.0756,False,200,True,False,False,False
HRT,CMT001,75,117,single,0.0585,0.0585,0.4876,0.005,0.0827,0.0789,False,200,True,False,False,True
HRT,CMT0011,75,118,single,0.0512,0.0512,0.8905,0.005,0.0882,0.0837,False,200,True,False,False,False
HRT,CMT0012,75,120,single,0.0541,0.0541,0.8109,0.005,0.0841,0.0766,False,200,True,False,False,False
HRT,CMT0014,75,120,single,0.0726,0.0726,0.1542,0.005,0.0826,0.0745,False,200,True,False,False,True
