effector,pid,spd,n,t0_A_ms,t0_A_lo,t0_A_hi,width_ms,floor_open,t0_B_ms,t0_B_lo,t0_B_hi,AB_diff_ms,intervals_overlap
HRT,CMT001,0,118,130.2,130.0,167.9,37.9,True,162.0,146.0,173.0,-31.8,True
HRT,CMT0011,0,119,185.9,143.1,201.1,58.0,False,178.0,160.0,192.0,7.9,True
HRT,CMT0012,0,119,183.9,150.6,195.9,45.4,False,180.0,166.0,192.0,3.9,True
HRT,CMT0014,0,120,176.9,130.0,191.5,61.5,True,163.0,146.0,175.0,13.9,True
HRT,CMT0015,0,120,130.0,130.0,151.9,21.9,True,135.0,131.0,139.0,-5.0,True
HRT,CMT0016,0,119,136.1,130.0,166.6,36.6,True,154.0,140.0,165.0,-17.9,True
HRT,CMT0017,0,120,173.7,130.0,200.3,70.3,True,174.0,155.0,188.0,-0.3,True
HRT,CMT002,0,119,165.0,130.0,178.1,48.1,True,160.0,144.0,172.0,5.0,True
HRT,CMT003,0,120,171.1,130.0,188.6,58.6,True,168.0,149.0,182.0,3.1,True
HRT,CMT004,0,120,148.8,130.0,187.2,57.2,True,163.0,148.0,175.0,-14.2,True
HRT,CMT005,0,119,178.7,130.0,216.0,86.0,True,177.0,155.0,193.0,1.7,True
HRT,CMT006,0,118,191.5,130.0,212.7,82.7,True,191.0,170.0,206.0,0.5,True
HRT,CMT007,0,118,170.5,130.0,207.8,77.8,True,189.0,167.0,205.0,-18.5,True
HRT,CMT008,0,120,188.1,141.6,197.0,55.4,False,178.0,166.0,187.0,10.1,True
HRT,CMT009,0,119,150.5,130.0,182.1,52.1,True,170.0,153.0,183.0,-19.5,True
HRT,CMT010,0,120,158.0,130.0,198.0,68.0,True,170.0,155.0,182.0,-12.0,True
HRT,CMT001,75,117,130.0,130.0,158.4,28.4,True,153.0,140.0,164.0,-23.0,True
HRT,CMT0011,75,118,167.9,130.0,180.0,50.0,True,151.0,137.0,163.0,16.9,True
HRT,CMT0012,75,120,160.1,130.0,180.8,50.8,True,157.0,141.0,169.0,3.1,True
HRT,CMT0014,75,120,130.0,130.0,192.5,62.5,True,167.0,151.0,178.0,-37.0,True
HRT,CMT0015,75,119,151.0,130.0,157.0,27.0,True,138.0,132.0,145.0,13.0,True
HRT,CMT0016,75,119,148.8,130.0,172.7,42.7,True,151.0,138.0,161.0,-2.2,True
HRT,CMT0017,75,119,155.0,130.0,155.0,25.0,True,134.0,131.0,138.0,21.0,True
HRT,CMT002,75,116,135.6,130.0,166.9,36.9,True,152.0,139.0,163.0,-16.4,True
HRT,CMT003,75,119,130.0,130.0,177.8,47.8,True,170.0,155.0,183.0,-40.0,True
HRT,CMT004,75,117,151.5,130.0,183.6,53.6,True,161.0,149.0,171.0,-9.5,True
HRT,CMT005,75,117,155.0,130.0,155.0,25.0,True,134.0,131.0,138.0,21.0,True
HRT,CMT006,75,120,179.1,130.0,196.0,66.0,True,179.0,162.0,192.0,0.1,True
HRT,CMT007,75,119,197.8,175.4,207.8,32.4,False,183.0,164.0,199.0,14.8,True
HRT,CMT008,75,120,159.6,130.0,178.7,48.7,True,169.0,156.0,178.0,-9.4,True
HRT,CMT009,75,120,161.1,130.0,188.0,58.0,True,158.0,142.0,171.0,3.1,True
HRT,CMT010,75,119,181.2,153.0,190.8,37.8,False,171.0,154.0,182.0,10.2,True
HRT,CMT001,150,115,130.0,130.0,148.2,18.2,True,141.0,132.0,151.0,-11.0,True
HRT,CMT0011,150,117,174.5,130.0,188.6,58.6,True,168.0,150.0,182.0,6.5,True
HRT,CMT0012,150,120,130.0,130.0,156.5,26.5,True,137.0,132.0,143.0,-7.0,True
HRT,CMT0014,150,117,160.5,130.0,160.5,30.5,True,138.0,132.0,144.0,22.5,True
HRT,CMT0015,150,119,152.4,130.0,159.0,29.0,True,140.0,132.0,147.0,12.4,True
HRT,CMT0016,150,113,130.0,130.0,146.3,16.3,True,137.0,132.0,145.0,-7.0,True
HRT,CMT0017,150,120,187.1,130.0,210.0,80.0,True,180.0,161.0,194.0,7.1,True
HRT,CMT002,150,116,130.0,130.0,163.4,33.4,True,150.0,136.0,161.0,-20.0,True
HRT,CMT003,150,118,130.0,130.0,177.5,47.5,True,156.0,141.0,169.0,-26.0,True
HRT,CMT004,150,119,137.7,130.0,158.0,28.0,True,138.0,132.0,145.0,-0.3,True
HRT,CMT005,150,119,178.0,160.3,178.0,17.7,False,144.0,134.0,156.0,34.0,False
HRT,CMT006,150,120,157.4,130.0,183.6,53.6,True,163.0,144.0,179.0,-5.6,True
HRT,CMT007,150,117,158.0,140.5,158.0,17.5,False,136.0,131.0,142.0,22.0,True
HRT,CMT008,150,115,139.6,130.0,161.0,31.0,True,136.0,132.0,142.0,3.6,True
HRT,CMT009,150,120,176.8,153.9,186.0,32.1,False,164.0,148.0,176.0,12.8,True
HRT,CMT010,150,118,130.0,130.0,146.1,16.1,True,139.0,132.0,146.0,-9.0,True
SRT,CMT001,0,80,109.8,70.0,139.0,69.0,True,78.0,70.0,100.0,31.8,True
SRT,CMT0011,0,109,70.0,70.0,100.0,30.0,True,71.0,70.0,75.0,-1.0,True
SRT,CMT0012,0,96,70.0,70.0,77.6,7.6,True,73.0,70.0,79.0,-3.0,True
SRT,CMT0014,0,99,80.5,70.0,80.5,10.5,True,70.0,70.0,71.0,10.5,True
SRT,CMT0015,0,114,125.4,95.2,127.0,31.8,False,111.0,94.0,119.0,14.4,True
SRT,CMT0016,0,109,70.0,70.0,84.0,14.0,True,70.0,70.0,72.0,0.0,True
SRT,CMT002,0,116,113.6,96.6,122.5,25.9,False,110.0,92.0,119.0,3.6,True
SRT,CMT005,0,108,117.2,70.0,132.0,62.0,True,84.0,70.0,109.0,33.2,True
SRT,CMT007,0,109,70.0,70.0,84.0,14.0,True,70.0,70.0,71.0,0.0,True
SRT,CMT008,0,110,70.0,70.0,77.0,7.0,True,71.0,70.0,75.0,-1.0,True
SRT,CMT009,0,109,70.0,70.0,77.6,7.6,True,70.0,70.0,72.0,0.0,True
SRT,CMT010,0,118,70.0,70.0,102.0,32.0,True,72.0,70.0,78.0,-2.0,True
SRT,CMT001,75,90,72.4,70.0,132.0,62.0,True,74.0,70.0,88.0,-1.6,True
SRT,CMT0011,75,99,70.0,70.0,81.0,11.0,True,70.0,70.0,71.0,0.0,True
