effector,pid,spd,n,model_pub,ks_pub,ks_new,ks_p,crit95,rejected,passes_old_rule,at_bound
HRT,CMT001,0,118,single,0.0818,0.0827,0.0746,0.0848,False,True,True
HRT,CMT0011,0,119,single,0.1107,0.1107,0.01,0.0884,True,False,False
HRT,CMT0012,0,119,single,0.0623,0.0623,0.602,0.0961,False,True,False
HRT,CMT0014,0,120,single,0.0641,0.0641,0.3781,0.0853,False,True,False
HRT,CMT0015,0,120,single,0.0711,0.0711,0.4229,0.0891,False,True,True
HRT,CMT0016,0,119,single,0.0684,0.0684,0.3532,0.0859,False,True,False
HRT,CMT0017,0,120,single,0.0612,0.0612,0.5871,0.0871,False,True,False
HRT,CMT002,0,119,single,0.0574,0.0574,0.7114,0.0857,False,True,False
HRT,CMT003,0,120,single,0.0627,0.0627,0.5075,0.0846,False,True,False
HRT,CMT004,0,120,single,0.0574,0.0574,0.6169,0.0855,False,True,False
HRT,CMT005,0,119,single,0.0574,0.0574,0.602,0.0843,False,True,False
HRT,CMT006,0,118,single,0.0478,0.0478,0.9652,0.0872,False,True,False
HRT,CMT007,0,118,single,0.0774,0.0774,0.1393,0.0858,False,True,False
HRT,CMT008,0,120,single,0.0603,0.0603,0.6816,0.0854,False,True,False
HRT,CMT009,0,119,single,0.0642,0.0642,0.4577,0.0866,False,True,False
HRT,CMT010,0,120,single,0.0587,0.0587,0.4378,0.0789,False,True,False
HRT,CMT001,75,117,single,0.0585,0.0585,0.5124,0.0847,False,True,True
HRT,CMT0011,75,118,single,0.0512,0.0512,0.9502,0.0868,False,True,False
HRT,CMT0012,75,120,single,0.0541,0.0541,0.796,0.0866,False,True,False
HRT,CMT0014,75,120,single,0.0726,0.0726,0.1692,0.0807,False,True,True
HRT,CMT0015,75,119,single,0.0623,0.0623,0.5522,0.0911,False,True,False
HRT,CMT0016,75,119,single,0.0681,0.0681,0.2985,0.0837,False,True,False
HRT,CMT0017,75,119,single,0.0706,0.0705,0.194,0.0809,False,True,False
HRT,CMT002,75,116,single,0.0695,0.0695,0.2438,0.0833,False,True,False
HRT,CMT003,75,119,single,0.074,0.074,0.1493,0.089,False,True,True
HRT,CMT004,75,117,single,0.0474,0.0474,0.8458,0.0832,False,True,False
HRT,CMT005,75,117,single,0.0758,0.0754,0.1642,0.0871,False,True,False
HRT,CMT006,75,120,single,0.0586,0.0586,0.6567,0.0831,False,True,False
HRT,CMT007,75,119,single,0.0684,0.0684,0.3881,0.0911,False,True,False
HRT,CMT008,75,120,single,0.0508,0.0508,0.8159,0.0918,False,True,False
HRT,CMT009,75,120,single,0.0545,0.0545,0.7562,0.086,False,True,False
HRT,CMT010,75,119,single,0.062,0.062,0.6269,0.0868,False,True,False
HRT,CMT001,150,115,single,0.0732,0.0732,0.2338,0.088,False,True,True
HRT,CMT0011,150,117,single,0.0701,0.07,0.3532,0.0898,False,True,False
HRT,CMT0012,150,120,single,0.0573,0.0573,0.7512,0.0923,False,True,True
HRT,CMT0014,150,117,single,0.0553,0.0555,0.7413,0.0843,False,True,False
HRT,CMT0015,150,119,single,0.0815,0.0815,0.1294,0.0927,False,True,False
HRT,CMT0016,150,113,single,0.0555,0.0555,0.8408,0.0937,False,True,True
HRT,CMT0017,150,120,single,0.0617,0.0617,0.5124,0.0868,False,True,False
HRT,CMT002,150,116,single,0.0787,0.0787,0.0945,0.0845,False,True,True
HRT,CMT003,150,118,single,0.0598,0.0598,0.4776,0.085,False,True,True
HRT,CMT004,150,119,single,0.076,0.076,0.1841,0.0864,False,True,False
HRT,CMT005,150,119,single,0.1032,0.103,0.0299,0.0971,True,False,False
HRT,CMT006,150,120,single,0.0676,0.0676,0.2687,0.0837,False,True,False
HRT,CMT007,150,117,single,0.1098,0.11,0.01,0.0913,True,False,False
HRT,CMT008,150,115,single,0.0594,0.0598,0.5075,0.0848,False,True,True
HRT,CMT009,150,120,single,0.0646,0.0646,0.6169,0.0889,False,True,False
HRT,CMT010,150,118,single,0.0744,0.0744,0.2687,0.0895,False,True,True
SRT,CMT001,0,80,single,0.0801,0.0801,0.2388,0.0974,False,True,False
SRT,CMT0011,0,109,single,0.0523,0.0523,0.8507,0.0884,False,True,True
SRT,CMT0012,0,96,single,0.1221,0.1221,0.01,0.1054,True,False,True
SRT,CMT0014,0,99,single,0.107,0.1068,0.01,0.0875,True,False,False
SRT,CMT0015,0,114,single,0.0915,0.0915,0.0647,0.0926,False,True,False
SRT,CMT0016,0,109,single,0.0995,0.0995,0.0249,0.0918,True,True,True
SRT,CMT0017,0,113,mixture,0.1015,0.1013,0.0249,0.0869,True,False,False
SRT,CMT002,0,116,single,0.0839,0.0839,0.1343,0.0901,False,True,False
SRT,CMT003,0,116,mixture,0.1168,0.1168,0.005,0.0886,True,False,True
SRT,CMT004,0,112,mixture,0.1455,0.1455,0.005,0.0911,True,False,True
SRT,CMT005,0,108,single,0.0829,0.0829,0.0945,0.0924,False,True,False
SRT,CMT006,0,102,mixture,0.1058,0.1058,0.01,0.0979,True,False,False
