pid,spd,pi,reported,express_mean,express_mode,express_diff,reg_mean,reg_mode,sep_mean,sep_mode,sep_rule_flips,express_lt130_mean,express_lt130_mode,lt130_flips
CMT0017,0,0.749,169.0,169.4,165.8,3.7,219.4,213.5,50.0,47.8,False,False,False,False
CMT003,0,0.225,139.0,139.0,135.4,3.6,190.8,186.0,51.8,50.6,False,False,False,False
CMT004,0,0.382,140.0,140.5,136.2,4.4,184.3,180.6,43.8,44.5,False,False,False,False
CMT006,0,0.382,150.0,149.6,146.0,3.7,206.8,192.4,57.2,46.4,False,False,False,False
CMT002,75,0.479,160.0,159.5,143.3,16.2,221.9,216.1,62.4,72.8,False,False,False,False
CMT003,75,0.285,146.0,146.6,133.9,12.7,193.2,189.2,46.5,55.3,False,False,False,False
CMT004,75,0.578,139.0,139.2,132.3,6.9,187.7,184.0,48.5,51.7,False,False,False,False
CMT006,75,0.577,153.0,153.4,149.7,3.7,205.7,202.0,52.4,52.4,False,False,False,False
CMT007,75,0.504,161.0,161.1,147.2,13.9,200.3,196.7,39.3,49.5,False,False,False,False
CMT008,75,0.637,175.0,175.2,148.2,27.0,269.7,261.4,94.5,113.2,False,False,False,False
CMT0012,150,0.852,116.0,116.2,111.1,5.1,214.4,204.5,98.2,93.4,False,True,True,False
CMT003,150,0.139,135.0,135.5,129.7,5.8,192.0,184.9,56.5,55.2,False,False,True,True
CMT004,150,0.588,146.0,145.7,130.0,15.6,192.3,187.6,46.6,57.6,False,False,False,False
CMT007,150,0.276,142.0,141.8,132.8,9.0,197.8,191.4,56.0,58.6,False,False,False,False
CMT008,150,0.595,175.0,175.4,149.3,26.1,274.1,266.1,98.7,116.9,False,False,False,False
CMT010,150,0.527,185.0,184.6,180.9,3.7,228.6,224.9,44.0,43.9,False,False,False,False
