pid,spd,n,ks,p_upper_obs,p_upper_pred
CMT001,0,118,0.20845338983050848,0.4491525423728814,0.445
CMT001,75,117,0.20237179487179488,0.48717948717948717,0.49375
CMT001,150,115,0.22581521739130433,0.4434782608695652,0.50625
CMT0011,0,119,0.15277310924369747,0.5210084033613446,0.4925
CMT0011,75,118,0.12442796610169492,0.7966101694915254,0.815
CMT0011,150,117,0.06301282051282052,0.7777777777777778,0.74
CMT0012,0,119,0.10220588235294117,0.24369747899159663,0.25
CMT0012,75,120,0.12041666666666667,0.5833333333333334,0.62375
CMT0012,150,120,0.17083333333333334,0.5333333333333333,0.55
CMT0014,0,120,0.27416666666666667,0.425,0.41375
CMT0014,75,120,0.15541666666666668,0.8666666666666667,0.87875
CMT0014,150,117,0.18121794871794872,0.7777777777777778,0.80875
CMT0015,0,120,0.12458333333333334,0.21666666666666667,0.215
CMT0015,75,119,0.18540966386554622,0.4117647058823529,0.44125
CMT0015,150,119,0.15471638655462186,0.40336134453781514,0.46375
CMT0016,0,119,0.13832983193277312,0.3949579831932773,0.37375
CMT0016,75,119,0.14568277310924369,0.7226890756302521,0.73125
CMT0016,150,113,0.09161504424778762,0.6371681415929203,0.6425
CMT0017,0,120,0.15458333333333332,0.24166666666666667,0.25
CMT0017,75,119,0.26638655462184874,0.7058823529411765,0.77
CMT0017,150,120,0.14125,0.6666666666666666,0.68875
CMT002,0,119,0.09839285714285714,0.24369747899159663,0.24
CMT002,75,116,0.15685344827586206,0.646551724137931,0.6925
CMT002,150,116,0.17900862068965517,0.7672413793103449,0.8
CMT003,75,119,0.16997899159663865,0.6134453781512605,0.66
CMT003,150,118,0.19120762711864406,0.576271186440678,0.6575
CMT004,75,117,0.14952991452991454,0.7521367521367521,0.79125
CMT004,150,119,0.2082563025210084,0.6638655462184874,0.69625
CMT005,75,117,0.25706196581196583,0.7264957264957265,0.7375
CMT005,150,119,0.17798319327731094,0.6470588235294118,0.66875
CMT006,75,120,0.13083333333333333,0.6333333333333333,0.625
CMT006,150,120,0.14791666666666667,0.525,0.54
CMT007,75,119,0.07373949579831933,0.7142857142857143,0.75
CMT007,150,117,0.21892094017094016,0.6752136752136753,0.72125
CMT008,75,120,0.12666666666666668,0.6166666666666667,0.66125
CMT008,150,115,0.3865217391304348,0.4782608695652174,0.49875
CMT009,75,120,0.15041666666666667,0.6166666666666667,0.685
CMT009,150,120,0.075,0.5666666666666667,0.6075
CMT010,75,119,0.05851890756302521,0.9327731092436975,0.90375
CMT010,150,118,0.09661016949152543,0.864406779661017,0.85875
