pid,spd,n,d_rt,d_choice,d_tot
CMT001,0,118,-25.629564789349047,-0.06231160001443925,-25.691876389363486
CMT001,75,117,-33.86810625493803,2.559281890607693,-31.308824364330334
CMT001,150,115,-38.64680395183228,5.112997932874478,-33.533806018957804
CMT0011,0,119,-9.670264716323999,0.7864301584554738,-8.883834557868525
CMT0011,75,118,-12.084988347765886,-3.3044214335847286,-15.389409781350615
CMT0011,150,117,0.2877771314551012,10.02298142817694,10.310758559632042
CMT0012,0,119,-2.9553961421833037,-0.003917477414105974,-2.9593136195974097
CMT0012,75,120,-8.866728134664129,4.5995807639594375,-4.267147370704691
CMT0012,150,120,-20.9651039570428,9.875266583571559,-11.08983737347124
CMT0014,0,120,-53.685945890259745,-0.09363233486138256,-53.77957822512113
CMT0014,75,120,-13.814102697490114,-8.280465864934726,-22.09456856242484
CMT0014,150,117,-13.849755787960902,-0.4656948687700293,-14.315450656730931
CMT0015,0,120,-8.372182456450787,6.094440483745373,-2.277741972705414
CMT0015,75,119,-22.195409671122746,1.6601346830825605,-20.535274988040186
CMT0015,150,119,-17.550681021265518,4.120745317967973,-13.429935703297545
CMT0016,0,119,-11.306310590025333,-0.20235075535873648,-11.50866134538407
CMT0016,75,119,-8.309895945716107,2.95603868478959,-5.353857260926517
CMT0016,150,113,-4.647475333200333,8.307506306169074,3.660030972968741
CMT0017,0,120,-12.511168615031977,-0.8925465828268528,-13.40371519785883
CMT0017,75,119,-37.850049398886426,-3.913243894912,-41.76329329379843
CMT0017,150,120,-11.89361190313042,0.2877459412112273,-11.605865961919193
CMT002,0,119,-4.378734637668373,-0.10356824017561905,-4.482302877843992
CMT002,75,116,-14.9519152684029,4.352254335945943,-10.599660932456956
CMT002,150,116,-23.370992193042127,-3.1254090213930468,-26.496401214435174
CMT003,75,119,-20.88439299619614,2.4287268529191266,-18.455666143277014
CMT003,150,118,-34.517345971130055,3.539760329586514,-30.97758564154354
CMT004,75,117,-8.918317814311195,2.8474136628101263,-6.070904151501068
CMT004,150,119,-27.48939685553026,-1.4520325351301295,-28.94142939066039
CMT005,75,117,-21.07048516879155,-3.2870240846203274,-24.357509253411877
CMT005,150,119,-15.957400414253954,3.008035862043414,-12.94936455221054
CMT006,75,120,-3.4179058637864443,6.6544797269464055,3.236573863159961
CMT006,150,120,-11.60338924814809,9.397339870719804,-2.206049377428286
CMT007,75,119,-0.4027290533987582,7.54750575425593,7.144776700857172
CMT007,150,117,-16.711611653603967,4.578670297811271,-12.132941355792696
CMT008,75,120,-9.966084921551158,0.6981568719459403,-9.267928049605217
CMT008,150,115,-71.82155356166317,-0.14801376051055115,-71.96956732217372
CMT009,75,120,-19.506631864943216,6.242310496207466,-13.26432136873575
CMT009,150,120,-2.5899091762176454,5.116043670360796,2.5261344941431503
CMT010,75,119,-0.23308849184081737,4.263575854794038,4.03048736295322
CMT010,150,118,0.006249997856315304,4.860515567317549,4.866765565173864
