pid,spd,n,p_lead_obs,v,a,w,t0_ms,p_lead_pred
CMT001,0,118,0.4491525423728814,-0.8945400728246845,0.42052398953729875,0.5353664550416092,185.80470467559155,0.4420592545558197
CMT001,75,117,0.48717948717948717,0.7937459485657584,0.4188167272508961,0.41401383078179166,177.92702882264135,0.49546906173908023
CMT001,150,115,0.4434782608695652,0.4424615831713135,0.5158415782626533,0.3954655327429772,166.18343642318987,0.4506688790544157
CMT0011,0,119,0.5210084033613446,-0.20641874668969393,0.49474035627896545,0.5450502195237901,204.33857772296724,0.5196707914154964
CMT0011,75,118,0.7966101694915254,3.4724130377704348,0.630096732862094,0.3909349335579697,173.23568066416613,0.8296950141324588
CMT0011,150,117,0.7777777777777778,3.856760784655772,0.5652471742956978,0.3441918873559653,192.2383316757234,0.7870814831889782
CMT0012,0,119,0.24369747899159663,-2.1407952606696847,0.5426337832928706,0.4994663206602945,198.61897628916844,0.23793444636991873
CMT0012,75,120,0.5833333333333334,1.7658498940781817,0.5358905796626378,0.3743295016432742,183.27185932533132,0.5976502182721394
CMT0012,150,120,0.5333333333333333,1.3705211638353543,0.7019764612464872,0.3429385459927021,152.36475200667107,0.5656658247069812
CMT0014,0,120,0.425,-0.6505360830625013,0.5472833307296924,0.502765873186117,187.41104675324058,0.4146324849164196
CMT0014,75,120,0.8666666666666667,5.7755870190760294,0.6111782093868435,0.32851051034573553,186.19802550631235,0.9024255375807028
CMT0014,150,117,0.7777777777777778,3.6425155228311237,0.8015724597243432,0.29216037348442037,155.85835756322146,0.820809897809681
CMT0015,0,120,0.21666666666666667,-4.18657336948537,0.6919634228911729,0.7107463099621737,148.48675299832576,0.1846541860109185
CMT0015,75,119,0.4117647058823529,-0.33666627115393993,0.5469571535614987,0.4522524909503502,153.25701759304368,0.4070304149961308
CMT0015,150,119,0.40336134453781514,-0.14560263568214252,0.505570775936535,0.4192333032304927,156.06397869859754,0.40138926012633586
CMT0016,0,119,0.3949579831932773,-1.2460522339544353,0.5010894225146272,0.5372952967489928,174.77844827284923,0.3845903035901208
CMT0016,75,119,0.7226890756302521,3.775997604958037,0.5008789387605476,0.3459477949217335,171.42216562851564,0.7467995237101152
CMT0016,150,113,0.6371681415929203,2.565436315985557,0.5721013877202114,0.33069615510501116,156.87811677019914,0.6560315037194459
CMT0017,0,120,0.24166666666666667,-2.3963061987837952,0.5584572082274197,0.5188876849464984,200.1200413913819,0.22240671793317315
CMT0017,75,119,0.7058823529411765,2.7268566396987004,0.8227090394244199,0.31039690360161565,149.97338645755158,0.7601515609229542
CMT0017,150,120,0.6666666666666666,2.1830770574866856,0.5489969920829147,0.41203882017963706,205.0021997842158,0.6903692543627709
CMT002,0,119,0.24369747899159663,-2.3345885934587907,0.5138762588537062,0.5033054852897255,181.4933681408995,0.23416899150594775
CMT002,75,116,0.646551724137931,3.1758313414343915,0.45666670709037255,0.35036879391652714,177.58246013663722,0.6751892106789068
CMT002,150,116,0.7672413793103449,4.4872937913993605,0.5156413814082637,0.3379684195008464,177.00665708746226,0.798511494223745
CMT003,75,119,0.6134453781512605,2.50942308717788,0.4391252797310329,0.3780312274532247,197.8659475188811,0.6354557193201777
CMT003,150,118,0.576271186440678,2.1120227670792424,0.5008793318579904,0.35990761998221166,185.54721084523416,0.6060800516146293
CMT004,75,117,0.7521367521367521,5.310920259420927,0.46020497093793267,0.30874014003531014,182.76685147756305,0.7848247044150382
CMT004,150,119,0.6638655462184874,2.1877845393995146,0.5990155192390126,0.3998377887162394,152.3497117649844,0.7002878748385086
CMT005,75,117,0.7264957264957265,2.5868861364582862,0.8631601184643161,0.32110072762037806,148.32424909960423,0.7704964643117275
CMT005,150,119,0.6470588235294118,1.4468659810296303,0.9643030840841375,0.37389586287465437,163.1722846490363,0.6900887277803057
CMT006,75,120,0.6333333333333333,2.4683693820358936,0.5132857357772258,0.3590706167322735,203.30998925114937,0.6489107545150595
CMT006,150,120,0.525,1.387449387079555,0.6117578656831443,0.34956003100427946,193.20290012251138,0.5478891560703952
CMT007,75,119,0.7142857142857143,2.866843367997805,0.5916888056752522,0.35725986008747085,210.15183181953253,0.7268442853374888
CMT007,150,117,0.6752136752136753,2.25029445987875,0.8423420780913097,0.32277028128427243,152.23820386608668,0.7221409488422943
CMT008,75,120,0.6166666666666667,2.085353639380633,0.40494567398922315,0.42404458411849805,188.00620237613475,0.6272469662332192
CMT008,150,115,0.4782608695652174,-0.5215320186080189,0.5330272508399385,0.5396971758269922,157.22269163627402,0.470572572066287
CMT009,75,120,0.6166666666666667,2.4403303615441594,0.5707822503466616,0.3403826772717879,185.16049922651996,0.6528436783499012
CMT009,150,120,0.5666666666666667,1.4712675801803154,0.517721533110461,0.397016805211063,186.68110629824122,0.5803175507900089
CMT010,75,119,0.9327731092436975,6.380590303871612,0.5723039339729048,0.37218146664181573,188.77694820342623,0.934632130818885
CMT010,150,118,0.864406779661017,4.049497686880606,0.7633378707058995,0.3374580384346193,152.7899217992587,0.8776620103593182
