pid,spd,n,n_upper,n_lower,p_upper,minority_n,minority_share,verdict
CMT001,0,42,36,6,0.8571428571428571,6,0.14285714285714285,hierarchical only
CMT002,0,51,27,24,0.5294117647058824,24,0.47058823529411764,per-cell
CMT003,0,31,7,24,0.22580645161290322,7,0.22580645161290322,hierarchical only
CMT004,0,29,21,8,0.7241379310344828,8,0.27586206896551724,hierarchical only
CMT005,0,51,15,36,0.29411764705882354,15,0.29411764705882354,per-cell
CMT006,0,33,3,30,0.09090909090909091,3,0.09090909090909091,hierarchical only
CMT007,0,24,18,6,0.75,6,0.25,hierarchical only
CMT008,0,24,12,12,0.5,12,0.5,per-cell
CMT009,0,29,11,18,0.3793103448275862,11,0.3793103448275862,per-cell
CMT010,0,23,17,6,0.7391304347826086,6,0.2608695652173913,hierarchical only
CMT011,0,50,36,14,0.72,14,0.28,per-cell
CMT012,0,40,33,7,0.825,7,0.175,hierarchical only
CMT013,0,51,42,9,0.8235294117647058,9,0.17647058823529413,hierarchical only
CMT014,0,29,8,21,0.27586206896551724,8,0.27586206896551724,hierarchical only
CMT015,0,14,1,13,0.07142857142857142,1,0.07142857142857142,single-boundary only
CMT016,0,33,9,24,0.2727272727272727,9,0.2727272727272727,hierarchical only
CMT001,75,45,40,5,0.8888888888888888,5,0.1111111111111111,hierarchical only
CMT002,75,54,54,0,1.0,0,0.0,single-boundary only
CMT003,75,61,51,10,0.8360655737704918,10,0.16393442622950818,per-cell
CMT004,75,59,53,6,0.8983050847457628,6,0.1016949152542373,hierarchical only
CMT005,75,40,39,1,0.975,1,0.025,single-boundary only
CMT006,75,58,56,2,0.9655172413793104,2,0.034482758620689655,single-boundary only
CMT007,75,48,46,2,0.9583333333333334,2,0.041666666666666664,single-boundary only
CMT008,75,59,58,1,0.9830508474576272,1,0.01694915254237288,single-boundary only
CMT009,75,47,42,5,0.8936170212765957,5,0.10638297872340426,hierarchical only
CMT010,75,56,51,5,0.9107142857142857,5,0.08928571428571429,hierarchical only
CMT011,75,22,19,3,0.8636363636363636,3,0.13636363636363635,hierarchical only
CMT012,75,43,42,1,0.9767441860465116,1,0.023255813953488372,single-boundary only
CMT013,75,56,55,1,0.9821428571428571,1,0.017857142857142856,single-boundary only
CMT014,75,37,35,2,0.9459459459459459,2,0.05405405405405406,single-boundary only
CMT015,75,54,35,19,0.6481481481481481,19,0.35185185185185186,per-cell
CMT016,75,49,45,4,0.9183673469387755,4,0.08163265306122448,hierarchical only
CMT001,150,47,47,0,1.0,0,0.0,single-boundary only
CMT002,150,67,67,0,1.0,0,0.0,single-boundary only
CMT003,150,65,65,0,1.0,0,0.0,single-boundary only
CMT004,150,62,62,0,1.0,0,0.0,single-boundary only
CMT005,150,54,54,0,1.0,0,0.0,single-boundary only
CMT006,150,50,50,0,1.0,0,0.0,single-boundary only
CMT007,150,61,61,0,1.0,0,0.0,single-boundary only
CMT008,150,52,52,0,1.0,0,0.0,single-boundary only
CMT009,150,61,60,1,0.9836065573770492,1,0.01639344262295082,single-boundary only
CMT010,150,54,54,0,1.0,0,0.0,single-boundary only
CMT011,150,64,64,0,1.0,0,0.0,single-boundary only
CMT012,150,49,48,1,0.9795918367346939,1,0.02040816326530612,single-boundary only
CMT013,150,62,62,0,1.0,0,0.0,single-boundary only
CMT014,150,66,66,0,1.0,0,0.0,single-boundary only
CMT015,150,54,54,0,1.0,0,0.0,single-boundary only
CMT016,150,64,60,4,0.9375,4,0.0625,hierarchical only
