pid,spd,n,v,sv,a,w,t0_ms,ll_sv,ll_2b,ll_wb,aic_sv,aic_2b,aic_wb,t0_2b,t0_wald
CMT001,0,118,-0.9597359343136814,2.482023708758429,0.4414765272246011,0.5383274289129828,185.5812076924711,199.49098897925177,199.0542195361511,224.7460959255144,-388.98197795850353,-390.1084390723022,-441.4921918510288,185.80470467559155,157.99722191936272
CMT001,75,117,0.7293297297181779,2.8605920140639207,0.44594043636003633,0.4111282413426989,177.75855708063025,204.7202706548601,203.99226450028246,235.30108886461278,-399.4405413097202,-399.9845290005649,-462.60217772922556,177.92702882264135,130.0000029747157
CMT001,150,115,0.24995336226199072,2.7779494307682278,0.5660399706745765,0.3904211534045141,165.8845312108074,160.6312160283762,159.38502474784883,192.91883076680665,-311.2624320567524,-310.77004949569766,-377.8376615336133,166.18343642318987,130.0000001773026
CMT0011,0,119,-0.24696088163991128,2.3449081269929946,0.5224994188980727,0.5474981020764901,203.99674924363825,156.75818960892147,156.30877508315896,165.1926096410275,-303.51637921784294,-304.6175501663179,-322.385219282055,204.33857772296724,188.5267875374124
CMT0011,75,118,3.472446556606519,5.196591434822081e-07,0.6300912252922451,0.39093514031748056,173.23587853584215,161.52570911652228,161.52570908608277,176.91511886743336,-313.05141823304456,-315.05141817216554,-345.8302377348667,173.23568066416613,151.86985539232415
CMT0011,150,117,3.856669272883601,9.115881757012669e-07,0.5652482990885674,0.34419116961140556,192.2382022518432,173.0861650518942,173.08616501360487,162.7754064539728,-336.1723301037884,-338.17233002720974,-317.5508129079456,192.2383316757234,182.2546735615755
CMT0012,0,119,-3.370475369411542,3.1053699272324566,0.6067715585571214,0.5417826389577711,196.9974184332756,160.2130267092294,158.40108808639664,161.36040170599398,-310.4260534184588,-308.8021761727933,-314.72080341198796,198.61897628916844,193.8525123322705
CMT0012,75,120,1.9508695495682802,2.2156531219267546,0.5667984486824638,0.36497808490531713,183.05297476593825,152.66930146807115,152.32537831781843,156.59252568852315,-295.3386029361423,-296.65075663563687,-305.1850513770463,183.2718593253313,163.75001646661468
CMT0012,150,120,1.4396296260101638,3.070017984607514,0.8312579560343862,0.3235800901074492,151.78362960081216,105.60563509492779,104.14148555214979,115.23132292562101,-201.21127018985558,-200.28297110429958,-222.46264585124203,152.36475200667107,130.00000066721768
CMT0014,0,120,-0.6469146365967284,2.347663995532074,0.5905353665917107,0.5012134643486682,187.06601433058512,149.04645246953635,148.1508158189666,201.93039404408776,-288.0929049390727,-288.3016316379332,-395.8607880881755,187.41104675324056,148.21278474491447
CMT0014,75,120,6.396209124287739,1.7303741769568404,0.6446440899942085,0.31019504547313326,185.69234160287078,221.41997199301878,220.91428595132328,243.0088545137482,-432.83994398603755,-433.82857190264656,-478.0177090274964,186.19802550631235,163.70576315379031
CMT0014,150,117,5.13153828653717,2.8462349696654736,0.9636636242325989,0.23861274459367035,155.8981388529662,125.28604612712203,122.3071677547347,136.62261841146562,-240.57209225424407,-236.6143355094694,-265.24523682293125,155.85835756322146,130.00000175527217
CMT0015,0,120,-4.966351357715917,2.1682707320423797,0.7532945283102997,0.7370007428044976,148.48017448390803,159.05975937488964,158.3995297682384,160.6772717409438,-308.1195187497793,-308.7990595364768,-313.3545434818876,148.48675299832576,130.00000023405744
CMT0015,75,119,-0.7521882615905804,2.992021827055898,0.6099031700100562,0.46028970737311053,152.6734762100533,147.34758328876788,145.63315349368057,166.16842848172072,-284.69516657753576,-283.26630698736113,-324.33685696344145,153.25701759304368,136.4165368801217
