truth,wald,twob
2B,159.72385364829694,167.67832250320117
2B,166.0895001819178,169.9482573065311
2B,164.35211467566953,170.6295898581683
2B,164.4387696306931,169.67412754347055
2B,162.10087748897573,167.94735464962497
2B,165.9707149182748,170.1947376453177
2B,168.28525492438362,175.14322597725774
2B,157.56119052432575,167.80868734774967
2B,154.01812015389189,170.04041541253153
2B,162.2792320658623,168.94266885850755
2B,168.81999727269968,171.23032300566248
2B,159.9724194264666,168.31591705940315
2B,167.85234938655043,171.39542436455253
2B,163.55221516214348,170.81550803897926
2B,166.6425458511231,171.22743774754213
2B,166.05868652205507,171.65746929380353
2B,160.6068158631076,173.29725527248937
2B,161.13371806126386,169.74503611410663
2B,168.9750860873541,169.54109551644555
2B,165.91216345599761,170.01538766307297
Wald,174.47577522510244,202.6990283027013
Wald,161.51255959203084,202.55335072715397
Wald,169.88665767882276,198.2994329712306
Wald,174.9027703116557,199.3590239057847
Wald,181.69467394571467,204.62276926951313
Wald,153.60639756405905,198.615316079088
Wald,198.15177947487885,207.7489350018742
Wald,158.06327584258028,204.13296492991634
Wald,186.36744024718354,206.0826356375389
Wald,165.85366473751455,193.99020622857552
Wald,162.90523479858555,197.96498707535633
Wald,157.98241591596874,204.20484690964398
Wald,173.89112801719116,194.0001080652129
Wald,156.59772729992451,200.24607464405318
Wald,156.21500154572936,193.53181522768202
Wald,172.87279247318935,197.48393616729527
Wald,181.2279770866826,205.7347468842754
Wald,186.94260921489277,200.9569734654953
Wald,137.26541559536483,195.86662146746502
Wald,173.9355545799629,202.47210176000473
