pid,spd,n,n_upper,n_lower,p_upper,minority_n,minority_share,verdict
CMT001,0,118,53,65,0.4491525423728814,53,0.4491525423728814,per-cell
CMT0011,0,119,62,57,0.5210084033613446,57,0.4789915966386555,per-cell
CMT0012,0,119,29,90,0.24369747899159663,29,0.24369747899159663,per-cell
CMT0014,0,120,51,69,0.425,51,0.425,per-cell
CMT0015,0,120,26,94,0.21666666666666667,26,0.21666666666666667,per-cell
CMT0016,0,119,47,72,0.3949579831932773,47,0.3949579831932773,per-cell
CMT0017,0,120,29,91,0.24166666666666667,29,0.24166666666666667,per-cell
CMT002,0,119,29,90,0.24369747899159663,29,0.24369747899159663,per-cell
CMT001,75,117,57,60,0.48717948717948717,57,0.48717948717948717,per-cell
CMT0011,75,118,94,24,0.7966101694915254,24,0.2033898305084746,per-cell
CMT0012,75,120,70,50,0.5833333333333334,50,0.4166666666666667,per-cell
CMT0014,75,120,104,16,0.8666666666666667,16,0.13333333333333333,per-cell
CMT0015,75,119,49,70,0.4117647058823529,49,0.4117647058823529,per-cell
CMT0016,75,119,86,33,0.7226890756302521,33,0.2773109243697479,per-cell
CMT0017,75,119,84,35,0.7058823529411765,35,0.29411764705882354,per-cell
CMT002,75,116,75,41,0.646551724137931,41,0.35344827586206895,per-cell
CMT003,75,119,73,46,0.6134453781512605,46,0.3865546218487395,per-cell
CMT004,75,117,88,29,0.7521367521367521,29,0.24786324786324787,per-cell
CMT005,75,117,85,32,0.7264957264957265,32,0.27350427350427353,per-cell
CMT006,75,120,76,44,0.6333333333333333,44,0.36666666666666664,per-cell
CMT007,75,119,85,34,0.7142857142857143,34,0.2857142857142857,per-cell
CMT008,75,120,74,46,0.6166666666666667,46,0.38333333333333336,per-cell
CMT009,75,120,74,46,0.6166666666666667,46,0.38333333333333336,per-cell
CMT010,75,119,111,8,0.9327731092436975,8,0.06722689075630252,hierarchical only
CMT001,150,115,51,64,0.4434782608695652,51,0.4434782608695652,per-cell
CMT0011,150,117,91,26,0.7777777777777778,26,0.2222222222222222,per-cell
CMT0012,150,120,64,56,0.5333333333333333,56,0.4666666666666667,per-cell
CMT0014,150,117,91,26,0.7777777777777778,26,0.2222222222222222,per-cell
CMT0015,150,119,48,71,0.40336134453781514,48,0.40336134453781514,per-cell
CMT0016,150,113,72,41,0.6371681415929203,41,0.36283185840707965,per-cell
CMT0017,150,120,80,40,0.6666666666666666,40,0.3333333333333333,per-cell
CMT002,150,116,89,27,0.7672413793103449,27,0.23275862068965517,per-cell
CMT003,150,118,68,50,0.576271186440678,50,0.423728813559322,per-cell
CMT004,150,119,79,40,0.6638655462184874,40,0.33613445378151263,per-cell
CMT005,150,119,77,42,0.6470588235294118,42,0.35294117647058826,per-cell
CMT006,150,120,63,57,0.525,57,0.475,per-cell
CMT007,150,117,79,38,0.6752136752136753,38,0.3247863247863248,per-cell
CMT008,150,115,55,60,0.4782608695652174,55,0.4782608695652174,per-cell
CMT009,150,120,68,52,0.5666666666666667,52,0.43333333333333335,per-cell
CMT010,150,118,102,16,0.864406779661017,16,0.13559322033898305,per-cell
