pid,spd,v,a,t0_ms
CMT001,0,14.834,1.9442,81
CMT0011,0,11.722,1.6892,54
CMT0012,0,11.817,0.6801,64
CMT0014,0,16.939,1.7887,64
CMT0015,0,14.968,1.4814,73
CMT0016,0,11.626,1.3795,44
CMT0017,0,12.332,1.3052,77
CMT002,0,9.914,0.9188,81
CMT005,0,12.847,1.7475,62
CMT007,0,11.615,1.3789,52
CMT008,0,5.427,0.7979,50
CMT009,0,7.257,0.9919,39
CMT010,0,13.704,1.8287,49
CMT001,75,14.963,2.2561,81
CMT0011,75,12.259,1.9565,54
CMT0012,75,21.586,1.124,64
CMT0014,75,14.603,1.6544,64
CMT0015,75,13.829,1.472,73
CMT0016,75,13.787,1.677,44
CMT0017,75,11.669,1.4284,77
CMT005,75,11.58,1.5258,62
CMT009,75,7.873,1.1423,39
CMT010,75,10.621,1.5641,49
CMT001,150,16.347,2.608,81
CMT0011,150,11.661,1.8707,54
CMT0014,150,12.407,1.4838,64
CMT0015,150,14.557,1.6035,73
CMT0016,150,13.284,1.6802,44
CMT0017,150,12.688,1.5411,77
CMT002,150,7.836,0.9315,81
CMT005,150,11.96,1.6328,62
CMT006,150,8.927,1.1234,52
CMT009,150,7.64,1.0824,39
